Step,Process Step,Developer Objective,Process Steps,Main Output / Gate,Data Product Portal,Data Product Manager (DPM),Snowflake,Ona / VS Code,GitLab,Vulcan,GitLab CI/CD,Conveyor / Airflow,DBT,Soda
0,Onboard with NEO Platform,"Get platform access so the developer can work within the NEO ecosystem: LIAM permission package grants base roles, Snowflake account enables data access, and GitLab SSO enables code collaboration",Request LIAM permission package via iam.luminus.be (4me self-service request if needed). Verify Snowflake email address and confirm login. Confirm GitLab SSO access. Ensure all three access points are active before proceeding.,"Active LIAM roles, verified Snowflake login, and confirmed GitLab SSO access",—,—,Verify email address per NEO onboarding guide; confirm login and default role works,—,SSO login confirmed; user appears in correct identity provider group,—,—,—,—,—
1,Request / Join a Purpose,"Join an existing Purpose or request creation of a new one. Purposes define the PBAC (Purpose-Based Access Control) boundary — they determine which databases, schemas, and roles the developer can use.",Submit 4me self-service request → NEO Purpose Request. Purpose owner reviews and approves membership. PBAC roles are assigned to the developer. Purpose-specific Snowflake databases and schemas become available upon approval.,Approved Purpose membership with assigned PBAC roles and accessible Purpose-specific Snowflake databases and schemas,—,Purpose exists or is created; developer roles assigned within the Purpose boundary,"Purpose-specific databases (e.g., P_{PURPOSE}) and schemas become available after role assignment",—,—,—,—,—,—,—
2,Onboard with GitLab,"Get GitLab access, join the correct team group, and understand repository conventions (branching strategy, MR process, naming standards) so code contributions follow team standards","Confirm GitLab SSO login works. Request team group membership from team lead. Clone the starter/template repository. Review branching conventions (e.g., feature branches, MR-based merges). Familiarize with CI/CD pipeline structure in the repo.",Working GitLab access with correct team group membership and understanding of repo conventions,—,—,—,—,SSO login confirmed; joined team group; cloned starter repo; reviewed branching and MR conventions; understood CI/CD pipeline structure,—,—,—,—,—
3,Set up Ona / VS Code Workspace,"Connect the cloud IDE (Ona or VS Code) to Snowflake and GitLab so the developer has a fully functional development environment for writing and testing SQL, YAML, and dbt models","Open Ona / VS Code workspace. Configure Snowflake connection (account, role, warehouse, database). Connect workspace to GitLab repository. Validate that SQL queries execute against the correct Snowflake environment. Ensure dbt commands (e.g., dbt run, dbt test) work locally.",Working IDE workspace connected to Snowflake and GitLab with validated SQL execution and dbt commands,—,—,"Validate active role, warehouse, compute, database, and target schemas respond correctly",Open Ona / VS Code; configure Snowflake connection parameters; connect to GitLab repo; validate SQL execution and dbt commands,—,—,—,—,—,—
4,Discover Upstream Data Products,"Identify which existing SADPs, ADPs, or CADPs will serve as upstream inputs for the new CADP. These upstream products already exist and are published — the goal is to find the right ones and confirm they match the consumer use case.","Search the Data Product Portal catalog for relevant upstream data products. Compare candidate products by grain, refresh cadence, ownership, and coverage. Review metadata, descriptions, and data agreements. Shortlist the most suitable upstream products and note their owners and support routes.","Shortlist of relevant upstream data products (SADPs/ADPs/CADPs) with known owner, purpose, grain, and refresh cadence","Search catalog; identify relevant upstream products; compare by grain, coverage, and refresh cadence","View owner, metadata, data agreements, and support route for each candidate",Upstream product schemas exist in public schemas but may not yet be accessible to the developer,—,—,—,—,—,—,—
5,Request Upstream Data Product Access,"Obtain approved read access to the required upstream data product inputs. Access is governed by PBAC — the Purpose owner must approve, and roles are granted at the schema level.",Initiate access request from the Data Product Portal entry for each upstream product. Purpose owner reviews and approves the data agreement. PBAC roles granting read access to the upstream public schema are assigned. Verify read access works by querying the upstream tables in Snowflake.,Approved data agreements and working read permissions to all required upstream public schemas,Initiate access request from the product entry for each upstream product,"Manage approval workflow, data agreements, and metadata linkage",Apply PBAC roles and read access to upstream public schemas after approval; verify by querying upstream tables,—,Track request references or linked implementation items if needed,—,—,—,—,—
6,Inspect Upstream Data Product Content,"Profile the upstream data products in detail to understand their structure, semantics, grain, keys, refresh cadence, and any quirks before designing the CADP contract. This avoids surprises during build.","Review descriptions, refresh cadence, and usage guidance in the Portal. Inspect tables, columns, primary/foreign keys, and data types in Snowflake. Profile sample data: check for nulls, duplicates, cardinality, and edge cases. Assess join feasibility between multiple upstream products. Document findings and any data quality concerns.","Initial source assessment: tables, columns, grain, refresh cadence, join feasibility, data quality notes, and usability assessment","Review description, refresh cadence, and usage guidance",Check ownership and access prerequisites,"Inspect tables, columns, keys, data types, and sample data in upstream public schemas","Use connected workspace / SQL exploration to profile data; run exploratory queries for nulls, duplicates, cardinality",Capture exploratory queries and profiling notes if useful,—,—,—,—,—
7,Define CADP Design,"Translate the consumer use case into a stable, well-documented CADP contract before heavy coding starts. Define the target grain, facts, dimensions, keys, naming conventions, test expectations, and publish intent.","Check the Portal for existing products to avoid duplication and align naming. Define the CADP grain (what does one row represent?). Identify facts (measures) and dimensions (attributes). Define primary keys, foreign keys, and naming conventions per CADP → BI Modeling Standards. Specify expected dbt tests (uniqueness, not_null, relationships, accepted_values). Document design decisions in ADRs or design notes. Plan the publish intent: what will the public schema expose?","CADP design blueprint: grain, facts, dimensions, keys, naming conventions, test strategy, and publish intent documented",Check for existing products to avoid duplication and align naming,"Define metadata requirements, ownership fields, and publication expectations","Analyse upstream structure, grain, keys, and feasible joins/measures","Draft design notes, ERDs, and exploratory queries","Store design artefacts, ADRs, and modelling decisions in the repo","Identify runtime and publish configuration needs (e.g., materialization strategy, schedule_type)",—,—,"Define target models, facts, dimensions, tests, and materializations in dbt project structure",—
8,Build Transformation Logic,"Implement the CADP model layers (staging → intermediate → marts) that convert upstream inputs into governed, business-ready outputs following dbt and Vulcan conventions","Build staging models (stg_) that rename, cast, and clean upstream columns. Build intermediate models (int_) for complex joins, aggregations, and business logic. Build mart models (fct_ and dim_) that represent the final CADP contract. Configure materializations (view, table, incremental) per model. Add dbt tests (schema tests and custom tests) to each model. Iterate: run models in DEV schema (P_{PURPOSE}), inspect results, fix issues.",Working DEV models producing intermediate and final CADP outputs in the P_{PURPOSE} schema with passing dbt tests,—,—,Execute models in DEV schema (P_{PURPOSE}) and persist outputs for iteration and inspection,"Write, run, and debug SQL, YAML, and dbt model config; iterate on model logic",Version code changes continuously; commit frequently to feature branch,Define runtime configuration and publish behavior in Vulcan project files,"Prepare automated checks for later deployment (e.g., CI pipeline validates on MR)",—,"Build staging (stg_), intermediate (int_), fact (fct_), and dimension (dim_) models with tests and documentation",—
9,Validate CADP Output,"Prove that the CADP output is correct, trustworthy, and fit for consumer use. Validate data quality, business logic, reconciliation against source, and performance before moving to deployment.","Run all dbt tests (uniqueness, not_null, relationships, accepted_values, custom). Validate data quality: check joins, duplicates, nulls, orphan keys, and row counts. Reconcile CADP output against upstream source totals where possible. Check query performance and materialization efficiency. Run Soda data contracts to validate quality gates. Fix any defects found and re-validate until all checks pass.","Accepted DEV-quality output with all dbt tests passing, Soda contracts validated, reconciliation confirmed, and defects resolved",—,Support readiness for later publication if validation passes,"Validate data quality, joins, duplicates, nulls, reconciliation, and query performance in DEV schema",Debug queries and inspect unexpected results; run reconciliation queries,Track fixes and reviewable changes in feature branch,"Adjust runtime config if validation exposes issues (e.g., materialization changes)",Run branch-level validation where available (CI pipeline on MR),—,Run dbt tests and semantic validations,Run Soda data contracts; validate quality checks; review results in Soda Cloud
10,Register CADP in Data Product Manager,"Register the CADP in the Data Product Manager so that the public Snowflake schema (<purpose>__<data_id>) is provisioned. This must happen before CI/CD deployment can succeed, because the deployment target schema must exist.","Create a new data product entry in the Data Product Manager. Define the public schema name following the naming convention (<purpose>__<data_id>). Configure ownership, metadata, and support route. Trigger public schema provisioning in Snowflake. Confirm the public schema exists and is ready to receive data. Update the Vulcan project to reference the registered data product ID.","Registered CADP with provisioned public schema (<purpose>__<data_id>) in Snowflake, referenced in Vulcan project config",—,Create data product entry; define public schema name; provision public schema; configure ownership and metadata,Public schema (<purpose>__<data_id>) provisioned and ready to receive published data,—,—,Vulcan project references registered data product ID in configuration,—,—,—,—
11,Deploy CADP Pipeline,"Move approved CADP logic from the development branch into the controlled deployment flow. Code is merged, CI/CD validates and deploys, and the pipeline becomes executable in production.","Finalize code and configuration; ensure all tests pass on the feature branch. Create a Merge Request (MR) for peer review. Address review feedback and get MR approved. Merge code to main / approved branch. CI/CD pipeline triggers: validates, builds, and deploys to target environment. Verify deployment succeeded: check that pipeline definition and runtime config are in place.",Deployed pipeline definition and executable production configuration with successful CI/CD run,—,—,Target environments receive deployed pipeline definitions and resulting objects,Finalize code and configuration before release handoff,Merge code to main / approved branch after MR review and approval,"Provide runtime configuration for deployment (schedule, dependencies, parameters)",Deploy pipeline and configuration through automation; validate deployment success,Register DAG / job execution definition in Conveyor/Airflow,Deployed dbt project ready for execution by pipeline,—
12,Run Scheduled Refresh,"Execute the CADP pipeline repeatedly so consumers receive refreshed outputs on the agreed cadence. Use event-based scheduling (schedule_type: events) to trigger when upstream data products update, ensuring freshness without unnecessary runs.","Configure schedule_type: events in Vulcan to trigger on upstream product refresh. Verify first production run completes successfully. Monitor subsequent runs for failures, performance degradation, or data quality issues. Set up alerting for failed runs. Handle reruns and backfills as needed.","Successful recurring production runs with refreshed CADP data in the private schema (P_{PURPOSE}), monitored and alertable",—,—,Read upstream inputs from public schemas and write refreshed CADP outputs to private schema (P_{PURPOSE}),—,Repository remains source of truth for deployed logic,Supply runtime parameters; configure schedule_type: events for event-based triggering on upstream refresh,—,"Schedule, trigger, monitor, and rerun jobs; handle backfills",Execute dbt transformation logic during each scheduled run,Validate output quality on each run via Soda data contracts
13,Publish CADP (Write-Audit-Publish),Move validated data from the private schema (P_{PURPOSE}) to the public schema (<purpose>__<data_id>) using the Write-Audit-Publish (WAP) pattern. Soda data contracts gate the publish step — failed contracts block publication to protect consumers.,"Data is written to private schema P_{PURPOSE} during the scheduled run (Write). Soda data contracts validate the output against defined quality thresholds (Audit). If all contracts pass: data is zero-copy cloned from private to public schema in a single atomic database transaction (Publish). If any contract fails: publication is blocked, alerting triggers, and the issue must be resolved before retry.","Published CADP tables in public schema (<purpose>__<data_id>), validated by Soda data contracts, via atomic zero-copy clone",—,Track publication status and lineage,Data written to P_{PURPOSE} → validated by Soda contracts → zero-copy cloned to public schema (<purpose>__<data_id>) in single atomic transaction,—,—,"WAP pattern configured in Vulcan project files (write, audit, publish steps)",CI/CD triggers WAP publish step after Soda validation passes,—,—,Soda data contracts gate the publish step; failed contracts block publication; results visible in Soda Cloud
14,Register and Expose CADP for Consumers,"Make the finished CADP discoverable, documented, and consumable as an official governed data product. Consumers can find it in the Portal, understand its contents, and request access through the standard PBAC process.","Expose the CADP in the Data Product Portal for consumer discovery. Complete all metadata: description, owner, support route, refresh cadence, grain, key columns, and usage guidance. Define the access request and grant process (PBAC-based). Optionally store versioned documentation alongside code in GitLab. Announce availability to relevant consumer teams.","Published CADP with complete discoverable metadata, governed access path, and consumer-ready documentation",Expose CADP to consumers for discovery and access requests,"Register CADP metadata, ownership, support route, refresh cadence, and grant process",Host final CADP tables / views in public schema for consumption,—,Optionally store versioned documentation alongside code,May support publish-specific configuration if implemented,—,—,Published dbt-built objects back the governed consumer-ready product,—
