Category,Drivers,Priority Indicative,Lagging KPI,Leading KPI,As-Is,To-Be,Business Value,#Business Value rating,T-Shirt Size,When,Initiative,Ownership/Lead,Approach/Comment,Feature Link,Epic Link
Onboard fast,Self Onboarding & Setup Documentation,P1,#New Users Onboarded / Month,Days to onboard,Assisted by People,AI Assisted,,,,,,,,,
Onboard fast,Access Provisioning & Support Process,P1,#New Users Onboarded / Month,Process exist and easy/fast to follow,LIAM and 4me,Also AI Assisted,,,,,,,,,
Best User Experience,Interface Standards,P1,DAU / MAU,Standardized template(s) per use case,Partially Exist in Qlik,Templates per use case,,,,,,,,,
Best User Experience,Accessibility,P2,DAU / MAU,Navigation Guide,End-User Training,Recorded Interface Guide,,,,,,,,,
Best User Experience,User Journey,P2,DAU / MAU,Process exist and easy/fast to follow,Does not exist,To be developed with data maturity journey,,,,,,,,,
Best User Experience,Dashboard Performance (Query Speed),P1,DAU / MAU,Testing and Optimization Guidelines,Does not exist,Optimization techniques Training,,,,,,,,,
Best User Experience,Data Exploration Experience,P1,DAU / MAU,Report and Data Catalog,In Built Qlik,Recorded Interface Guide,,,,,,,,,
Best User Experience,"Insight Discovery (Search, Suggestions)",P2,DAU / MAU,Usage of this functionality,"Does not exist, Qlik Answers",Qlik In-Product AI,,,,,,,,,
Best User Experience,Performance and UX,P2,DAU / MAU,User Feedback,Does not exist,,,,,,,,,,
Develop Fast,Templates & Starter Kits,P1,Avg SP per Dev Item,Standardized template(s) per use case,Partially Exist in Qlik,Templates per use case,,,,,,,,,
Develop Fast,DevOps & CI/CD,P1,Avg SP per Dev Item,,Within Qlik,AI Assisted Coding with Git Integration,,,,,,,,,
Develop Fast,Automation,P1,Avg SP per Dev Item,,Does not exist,Reusable automation,,,,,,,,,
Develop Fast,Reusable Components,P2,Avg SP per Dev Item,,Partially Exist in Qlik,"Reusable scripts, automation etc.",,,,,,,,,
Develop Fast,Environment Provisioning,P1,Avg SP per Dev Item,,Manual,Manual (Partially Automated),,,,,,,,,
Develop Fast,Developer Experience,P1,Avg SP per Dev Item,Developer Feedback,Does not exist,To be developed with data maturity journey,,,,,,,,,
Develop in Self-Service,Data Access & Catalog,P1,% Self-Service Devs,,In Qlik Spaces,AI Assisted,,,,,,,,,
Develop in Self-Service,Guardrails & Standards,P1,% Self-Service Devs,,Tenant Governance,Tenant Governance,,,,,,,,,
Develop in Self-Service,Self-Service Tooling,P1,% Self-Service Devs,,Managed Self-Service Architecture,Document slef-service onboarding,,,,,,,,,
Develop in Self-Service,Guided Workflows,P2,% Self-Service Devs,,Developer and Designer Training,To be developed with data maturity journey,,,,,,,,,
Develop in Self-Service,Technology Stack,P2,% Self-Service Devs,,Developer and Designer Training,To be developed with data maturity journey,,,,,Onboard Power BI,Dev,Epic,,https://luminus.atlassian.net/browse/LUMI-10470
Develop in Platform Team,CADP Development,P1,% Self-Service Devs,,In Qlik Spaces,AI Assisted,,,,,Build First CADP with Support,Dev/Pierre,Feature,https://luminus.atlassian.net/browse/LUMI-10538,
Develop in Platform Team,Optimize Scripts,P1,% Self-Service Devs,,Tenant Governance,Tenant Governance,,,,,,,,,
Develop Advanced,Advanced Engineering Patterns,P2,-,,,,,,,,,,,,
Develop Advanced,Extensibility & Customization,P2,-,,,,,,,,,,,,
Develop Advanced,AI-assisted Development,P3,-,,,,,,,,,,,,
Develop Advanced,Advanced Integrations & APIs,P2,-,,,,,,,,,,,,
Always Available,Monitoring & Alerting,P1,% Uptime,,,Failure Notifications,,,,,,,,,
Always Available,Performance Optimization,P1,% Uptime,,,Various Initiatives,,,,,,,,,
Always Available,Data Pipeline Monitoring,P1,% Uptime,,Lineage dashboard,Lineage dashboard,,,,,,,,,
Always Available,Data Freshness & SLA,P1,% Uptime,,Reload Engine Monitoring Dashboard,Reload Engine Monitoring Dashboard,,,,,,,,,
Always Available,Backup & Disaster Recovery,P1,% Uptime,,,,,,,,,,,,
Support,Incident Management,P1,% SLA Met,,Basic SLAs,Support Model & SLAs,,,,,,,,,
Support,Request Fulfilment,P1,% SLA Met,,Small via 4me and Big via Intakes,,,,,,,,,,
Support,User Support Model,P2,% SLA Met,,Chat,AI as first line of support,,,,,,,,,
Data Literacy,Training & Enablement,P1,#Users Trained / Year,,Enrollement Process via MyLearning,To be developed with data maturity journey,,,,,,,,,
Data Literacy,Role-Based Learning Paths,P2,#Users Trained / Year,,Exist,AI Assisted and Micro-learning linked to data maturity journey,,,,,,,,,
Data Literacy,Adoption and Implementation Practices,P2,#Users Trained / Year,,Does not exist,,,,,,,,,,
Knowledge Management,Documentation & Knowledge Hub,P1,% Assets Documented & Used,,,,,,,,,,,,
Knowledge Management,Community of Practice,P2,% Assets Documented & Used,,,,,,,,,,,,
Cost Optimization (FinOps),Vendor Management,P1,Cost per Active User,,,,,,,,,,,,
Cost Optimization (FinOps),License Management,P1,Cost per Active User,,,License granting rules,,,,,,,,,
Cost Optimization (FinOps),Usage Optimization,P1,Cost per Active User,,License optimization based on usage,Can this be automated?,,,,,,,,,
Cost Optimization (FinOps),Capacity & Resource Planning,P1,Cost per Active User,,,,,,,,,,,,
Cost Optimization (FinOps),Cost Transparency & Allocation,P1,Cost per Active User,,,,,,,,,,,,
Data Governance,Data Ownership & Stewardship,P1,% Governed Assets,,,,,,,,,,,,
Data Governance,Data Quality,P1,% Governed Assets,,,,,,,,,,,,
Data Governance,Master / Reference Data,P2,% Governed Assets,,,,,,,,,,,,
Data Governance,Data Lifecycle Management,P2,% Governed Assets,,,,,,,,,,,,
Data Governance,Semantic Layer (Metrics Definitions),P1,% Governed Assets,,,,,,,,,,,,
Data Governance,KPI Standardization,P1,% Governed Assets,,,,,,,,,,,,
Data Governance,Metadata & Lineage Tracking,P1,Lineage Coverage,,,,,,,,,,,,
Data Governance,Versioning History,P1,Version Coverage,,,,,,,,,,,,
Innovation,AI Enablement,P2,-,,NA,AI Assisted Dashboarding,,,,,AI POC for Enablement in Qlik,Dev/David L,Scope prep on-going in colab with vendor. To be tackled by POC Epic,,
Innovation,Decision Intelligence,P2,-,,,,,,,,,,,,
Innovation,Process Intelligence,P2,-,,,,,,,,Process Mining POC - TBD,Dev,Check Celonis Free Trial,,
Innovation,Personalization,P3,-,,,,,,,,,,,,
Innovation,Real-Time Analytics,P2,-,,,,,,,,,,,,
Innovation,Embedded Analytics,P2,-,,,,,,,,,,,,
Innovation,Conversational Data Analytics,P3,-,,,,,,,,,,,,
Innovation,Experimentation & Prototyping,P2,-,,,,,,,,,,,,
Innovation,Intelligent Automation,P2,-,,,,,,,,,,,,
Quality Assurance,Testing & Quality Engineering,P1,#Bugs Post Go-Live,,,,,,,,,,,,
Quality Assurance,Test Automation,P1,#Bugs Post Go-Live,,,,,,,,,,,,
Quality Assurance,Release & Environment Management,P1,#Bugs Post Go-Live,,,,,,,,,,,,
Quality Assurance,Quality Standards,P1,#Bugs Post Go-Live,,,,,,,,,,,,
Operation & Maintenance,Change Management,P1,#SP Maintenance,,,,,,,,,,,,
Operation & Maintenance,Service Management (ITSM),P1,#SP Maintenance,,,,,,,,,,,,
Operation & Maintenance,Patching & Version Management,P1,#SP Maintenance,,,,,,,,,,,,
Operation & Maintenance,Operational Playbooks,P1,#SP Maintenance,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Compliant,Compliance Management,P1,Audit Pass Rate,,,,,,,,,,,,
Compliant,Records Retention,P2,Audit Pass Rate,,,,,,,,,,,,
Secure,Security Controls,P1,#Security Incidents,,,,,,,,,,,,
Secure,Identity & Access Management,P1,#Security Incidents,,,,,,,,,,,,
Secure,Threat Detection & Response,P1,#Security Incidents,,,,,,,,,,,,
Secure,Data Protection,P1,#Security Incidents,,,,,,,,,,,,
Risk Management,Operational Risk Management,P1,#High Priority Incidents,,,,,,,,,,,,
Risk Management,Third-Party / Vendor Risk,P2,#High Priority Incidents,,,,,,,,,,,,
Risk Management,Business Continuity,P1,#High Priority Incidents,,,,,,,,,,,,
Risk Management,Control Assessment,P2,#High Priority Incidents,,,,,,,,,,,,